3286893056,3286893567,RUB
3286893568,3286894591,UAH
3286895104,3286895615,GBP
3286895616,3286896127,EUR
3286896128,3286896639,SEK
3286896640,3286897151,PLN
3286897152,3286897663,EUR
3286897664,3286898175,PLN
3286898176,3286898687,HRK
3286899200,3286899711,ILS
3286899712,3286900223,HUF
3286900224,3286900735,RON
3286900736,3286900991,EUR
3286900992,3286901503,EUR
3286901504,3286902015,EUR
3286902016,3286902527,CHF
3286902528,3286902783,GBP
3286902784,3286903039,PLN
3286903040,3286903551,EUR
3286903552,3286903807,CHF
3286903808,3286904063,EUR
3286904064,3286904319,EUR
3286904320,3286904575,EUR
3286904576,3286904831,EUR
3286904832,3286905087,GBP
3286905088,3286905343,EUR
3286905344,3286905599,EUR
3286905600,3286905855,EUR
3286905856,3286906111,TRY
3286906112,3286906367,EUR
3286906368,3286906879,RON
3286906880,3286907135,RUB
3286907136,3286907391,SEK
3286907392,3286907647,EUR
3286907648,3286907903,EUR
3286907904,3286908159,CHF
3286908160,3286908415,UAH
3286908416,3286908671,EUR
3286908672,3286908927,PLN
3286908928,3286909951,CHF
3286909952,3286913023,UAH
3286913024,3286914047,EUR
3286914048,3286915071,BGN
3286915072,3286916095,EUR
3286916096,3286917119,EUR
3286917120,3286918143,RUB
3286918144,3286919167,EUR
3286919168,3286920191,EUR
3286920192,3286921215,RUB
3286921216,3286922239,UAH
3286922240,3286923263,GBP
3286924288,3286925311,UAH
3286925312,3286925567,EUR
3286925568,3286925823,CHF
3286925824,3286926079,RON
3286926080,3286926335,LVL
3286926336,3286926591,UAH
3286926592,3286926847,EUR
3286926848,3286927103,EUR
3286927104,3286927359,EUR
3286927360,3286927615,EUR
3286927616,3286927871,EUR
3286927872,3286928383,EUR
3286928384,3286928639,EUR
3286928640,3286928895,PLN
3286928896,3286929151,EUR
3286929152,3286929407,EUR
3286929408,3286929663,LVL
3286929664,3286929919,EUR
3286929920,3286930175,SEK
3286930176,3286930431,RUB
3286930432,3286930687,UAH
3286930688,3286930943,EUR
3286930944,3286931199,SEK
3286931200,3286931455,EUR
3286931456,3286931711,EUR
3286931712,3286931967,GBP
3286931968,3286932223,EUR
3286932224,3286932479,DKK
3286932480,3286932735,GBP
3286932736,3286932991,EUR
3286932992,3286933503,ILS
3286933504,3286933759,DKK
3286933760,3286934015,RON
3286934016,3286934271,EUR
3286934272,3286934527,CHF
3286934528,3286934783,PLN
3286934784,3286935039,TRY
3286935040,3286935551,EUR
3286935808,3286936063,RON
3286936064,3286936319,RUB
3286936320,3286936575,EUR
3286936576,3286936831,RON
3286936832,3286937087,EUR
3286937088,3286937343,UAH
3286937344,3286937599,GBP
3286937600,3286937855,CHF
3286937856,3286938111,RON
3286938112,3286938367,EUR
3286938368,3286938623,EUR
3286938624,3286938879,CHF
3286938880,3286939391,RON
3286939392,3286939647,EUR
3286939648,3286939903,EUR
3286940160,3286940415,EUR
3286940416,3286940671,CHF
3286940672,3286940927,RON
3286940928,3286941183,PLN
3286941184,3286941439,RUB
3286941440,3286941695,RON
3286941696,3286942719,EUR
3286942720,3286943743,EUR
3286943744,3286944767,UAH
3286944768,3286945791,CZK
3286945792,3286946815,RUB
3286946816,3286947839,UAH
3286947840,3286948863,EUR
3286948864,3286949887,UAH
3286949888,3286950911,CHF
3286950912,3286951935,EUR
3286951936,3286952959,EUR
3286952960,3286953983,BGN
3286953984,3286955007,GBP
3286955008,3286956031,EUR
3286956032,3286957055,EUR
3286958080,3287023615,EUR
3287023616,3287154687,EUR
3287154688,3287162879,EUR
3287162880,3287171071,EUR
3287171072,3287171583,LTL
3287171584,3287172095,PLN
3287172096,3287172607,EUR
3287172608,3287173119,PLN
3287173120,3287173631,RUB
3287173632,3287174143,EUR
3287174144,3287174655,SEK
3287174656,3287175167,GBP
3287175168,3287176191,RON
